,level_0,level_1,file name
181,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,duration(sec),1249.849
182,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,distance (km),3.06799721251533
183,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,distance (miles),1.9063650788573332
184,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,avg speed (meters/second),2.454694297083352
185,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,avg speed (MPH),5.490994754001791
186,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,max speed (meters/second),2.641482411730403
187,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,max speed (MPH),5.90882786619646
188,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,calories,229
189,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,avg HR,151
190,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,max HR,173
191,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,elevation gain,0
192,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,elevation loss,0
193,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,min elevation,0
194,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,max elevation,0
195,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,avg cadence,86
196,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,max cadence,128
197,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,steps,3594
198,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,file name,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json
199,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,run type,Outdoors/Mobile
200,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,date,2021-04-17
201,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,time,14:45:46
202,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,timeZone,America/Chicago
203,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,duration(sec),2287.473
204,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,distance (km),5.656638061425298
205,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,distance (miles),3.51487192362713
206,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,avg speed (meters/second),2.472876428016985
207,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,avg speed (MPH),5.531667022516766
208,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,max speed (meters/second),3.110100388614563
209,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,max speed (MPH),6.957096424835019
210,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,calories,494
211,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,avg HR,156
212,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,max HR,170
213,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,elevation gain,66
